Артикул;Серия;Тип;Наименование;Причина
00935.A;Arke, Arke Fit, Eikon Evo, Eikon Exe, Eikon Flat, Neve Up, Plana;аксессуар;Светодиод для подсветок 12-24V 0,1W янтарный;на сайте заглушка «нет фото»
00935.B;Arke, Arke Fit, Eikon Evo, Eikon Exe, Eikon Flat, Neve Up, Plana;аксессуар;Подсветка LED 12-24V 0,1W голубая;на сайте заглушка «нет фото»
00935.G;Arke, Arke Fit, Eikon Evo, Eikon Exe, Eikon Flat, Neve Up, Plana;аксессуар;Светодиод для подсветок LED 12-24V 0,1W зеленый;на сайте заглушка «нет фото»
00935.R;Arke, Arke Fit, Eikon Evo, Eikon Exe, Eikon Flat, Neve Up, Plana;аксессуар;Подсветка LED 12-24V 0,1W красная;на сайте заглушка «нет фото»
00935.W;Arke, Arke Fit, Eikon Evo, Eikon Exe, Eikon Flat, Neve Up, Plana;аксессуар;Светодиод для подсветок LED 12-24V 0,1W белый;на сайте заглушка «нет фото»
00937.A;Arke, Arke Fit, Eikon Evo, Eikon Exe, Eikon Flat, Neve Up, Plana;аксессуар;Подсветка LED 12-24V 0,1W для осевых устройств янтарная;на сайте заглушка «нет фото»
00937.B;Arke, Arke Fit, Eikon Evo, Eikon Exe, Eikon Flat, Neve Up, Plana;аксессуар;Подсветка LED 12-24V 0,1W для осевых устройств голубая;на сайте заглушка «нет фото»
00937.G;Arke, Arke Fit, Eikon Evo, Eikon Exe, Eikon Flat, Neve Up, Plana;аксессуар;Подсветка LED 12-24V 0,1W для осевых устройств Зелёная;на сайте заглушка «нет фото»
00937.R;Arke, Arke Fit, Eikon Evo, Eikon Exe, Eikon Flat, Neve Up, Plana;аксессуар;Подсветка LED 12-24V 0,1W для осевых устройств красная;на сайте заглушка «нет фото»
00937.W;Arke, Arke Fit, Eikon Evo, Eikon Exe, Eikon Flat, Neve Up, Plana;аксессуар;Подсветка LED 12-24V 0,1W для осевых устройств белая;на сайте заглушка «нет фото»
00938.A;Arke, Arke Fit, Eikon Evo, Eikon Exe, Eikon Flat, Neve Up, Plana;аксессуар;Подсветка LED 110-250 0,3W для осевых устройств янтарная;на сайте заглушка «нет фото»
00938.B;Arke, Arke Fit, Eikon Evo, Eikon Exe, Eikon Flat, Neve Up, Plana;аксессуар;Светодиод для подсветок 110-250V 0,3W для осевых устройств голубой;на сайте заглушка «нет фото»
00938.G;Arke, Arke Fit, Eikon Evo, Eikon Exe, Eikon Flat, Neve Up, Plana;аксессуар;Светодиод для подсветок 110-250V 0,3W для осевых устройств Зелёная;на сайте заглушка «нет фото»
00938.R;Arke, Arke Fit, Eikon Evo, Eikon Exe, Eikon Flat, Neve Up, Plana;аксессуар;Светодиод для подсветок 110-250 0,3W для осевых устройств красная;на сайте заглушка «нет фото»
00938.W;Arke, Arke Fit, Eikon Evo, Eikon Exe, Eikon Flat, Neve Up, Plana;аксессуар;Светодиод для подсветок 110-250 0,3W для осевых устройств белая;на сайте заглушка «нет фото»
09661.03;Neve Up;накладка;Накладка на 1 модуль центрально для коробки на 2 модуля, ардезия;артикула нет на сайте vimar.ru
09661.12;Neve Up;накладка;Накладка на 1 модуль центрально для коробки на 2 модуля, горлица матовая;артикула нет на сайте vimar.ru
