code,base,colorSuffix,role,onPost,standard,pitchMm,fixing,boxShape,supportType,frameLayout,postCount,standardSignalsIT,standardSignalsDE,outletStandard,series,seriesSource,seriesConfidence,moduleCount,frameModules,moduleSpanCurated,color,isColor,material,unit,priceEUR,priceStatus,packQty,categoryDerived,note,sourceSheet,sourceRow
00112,00112,,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,8.15,ok,100,"Выключатели, переключатели и кнопки",,VIMAR,4
00112.B,00112,B,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,8.15,ok,100,"Выключатели, переключатели и кнопки",,VIMAR,5
00113,00113,,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,черный,true,,шт.,8.28,ok,100,"Выключатели, переключатели и кнопки",,VIMAR,6
00113.B,00113,B,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,белый,true,,шт.,8.28,ok,100,"Выключатели, переключатели и кнопки",,VIMAR,7
00114,00114,,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,8.75,ok,100,"Выключатели, переключатели и кнопки",,VIMAR,8
00114.B,00114,B,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,8.75,ok,100,"Выключатели, переключатели и кнопки",,VIMAR,9
00116,00116,,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,черный,true,,шт.,8.72,ok,100,"Выключатели, переключатели и кнопки",,VIMAR,10
00116.B,00116,B,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,белый,true,,шт.,8.72,ok,100,"Выключатели, переключатели и кнопки",,VIMAR,11
00149,00149,,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,черный,true,,шт.,7.51,ok,100,"Выключатели, переключатели и кнопки",,VIMAR,12
00149.B,00149,B,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,белый,true,,шт.,7.51,ok,100,"Выключатели, переключатели и кнопки",,VIMAR,13
00200,00200,,accessory,false,n-a,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,черная,true,,шт.,3.75,ok,100,Прочее оборудование,,VIMAR,14
00200.B,00200,B,accessory,false,n-a,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,белая,true,,шт.,3.75,ok,100,Прочее оборудование,,VIMAR,15
00201,00201,,accessory,false,n-a,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,черная,true,,шт.,4.02,ok,100,Прочее оборудование,,VIMAR,16
00201.B,00201,B,accessory,false,n-a,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,белая,true,,шт.,4.02,ok,100,Прочее оборудование,,VIMAR,17
00202,00202,,accessory,false,n-a,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,черная,true,,шт.,4.56,ok,100,Прочее оборудование,,VIMAR,18
00202.B,00202,B,accessory,false,n-a,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,белая,true,,шт.,4.56,ok,100,Прочее оборудование,,VIMAR,19
00206,00206,,accessory,false,n-a,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,черная,true,,шт.,4.63,ok,100,Прочее оборудование,,VIMAR,20
00206.B,00206,B,accessory,false,n-a,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,белая,true,,шт.,4.63,ok,100,Прочее оборудование,,VIMAR,21
00207,00207,,accessory,false,n-a,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,черная,true,,шт.,5.19,ok,100,Прочее оборудование,,VIMAR,22
00207.B,00207,B,accessory,false,n-a,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,белая,true,,шт.,5.19,ok,100,Прочее оборудование,,VIMAR,23
00211,00211,,accessory,false,n-a,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,черная,true,,шт.,6.42,ok,100,Прочее оборудование,,VIMAR,24
00211.B,00211,B,accessory,false,n-a,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,белая,true,,шт.,6.42,ok,100,Прочее оборудование,,VIMAR,25
00212,00212,,accessory,false,n-a,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,черная,true,,шт.,7.19,ok,100,Прочее оборудование,,VIMAR,26
00212.B,00212,B,accessory,false,n-a,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,белая,true,,шт.,7.19,ok,100,Прочее оборудование,,VIMAR,27
00221,00221,,accessory,false,n-a,,,unknown,unknown,,,,,italian,Linea,prefix,heuristic,,,,,false,,шт.,6.1,ok,100,Прочее оборудование,,VIMAR,28
00221.B,00221,B,accessory,false,n-a,,,unknown,unknown,,,,,italian,Linea,prefix,heuristic,,,,,false,,шт.,6.1,ok,100,Прочее оборудование,,VIMAR,29
00222,00222,,mechanism,true,both,,,unknown,unknown,,,,,italian,Linea,prefix,heuristic,,,,черная,true,,шт.,7.24,ok,100,Силовые розетки,,VIMAR,30
00222.B,00222,B,mechanism,true,both,,,unknown,unknown,,,,,italian,Linea,prefix,heuristic,,,,белая,true,,шт.,7.24,ok,100,Силовые розетки,,VIMAR,31
00223,00223,,mechanism,true,both,,,unknown,unknown,,,,,italian,Linea,prefix,heuristic,,,,черная,true,,шт.,7.19,ok,100,Силовые розетки,,VIMAR,32
00223.B,00223,B,mechanism,true,both,,,unknown,unknown,,,,,italian,Linea,prefix,heuristic,,,,белая,true,,шт.,7.19,ok,100,Силовые розетки,,VIMAR,33
00224,00224,,mechanism,true,both,,,unknown,unknown,,,,,italian,Linea,prefix,heuristic,,,,черная,true,,шт.,11.76,ok,50,Силовые розетки,,VIMAR,34
00224.B,00224,B,mechanism,true,both,,,unknown,unknown,,,,,italian,Linea,prefix,heuristic,,,,белая,true,,шт.,11.76,ok,50,Силовые розетки,,VIMAR,35
00225,00225,,mechanism,true,both,,,unknown,unknown,,,,,universal,Linea,prefix,heuristic,,,,черная,true,,шт.,13.24,ok,50,Силовые розетки,,VIMAR,36
00225.B,00225,B,mechanism,true,both,,,unknown,unknown,,,,,universal,Linea,prefix,heuristic,,,,белая,true,,шт.,13.24,ok,50,Силовые розетки,,VIMAR,37
00230,00230,,accessory,false,n-a,,,unknown,unknown,,,,,schuko_de,Linea,prefix,heuristic,,,,черная,true,,шт.,5.54,ok,100,Прочее оборудование,,VIMAR,38
00230.B,00230,B,accessory,false,n-a,,,unknown,unknown,,,,,schuko_de,Linea,prefix,heuristic,,,,белая,true,,шт.,5.54,ok,100,Прочее оборудование,,VIMAR,39
00231,00231,,accessory,false,n-a,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,черная,true,,шт.,6.51,ok,100,Прочее оборудование,,VIMAR,40
00231.B,00231,B,accessory,false,n-a,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,белая,true,,шт.,6.51,ok,100,Прочее оборудование,,VIMAR,41
00241,00241,,accessory,false,n-a,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,черная,true,,шт.,10.02,ok,100,Прочее оборудование,,VIMAR,42
00241.B,00241,B,accessory,false,n-a,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,белая,true,,шт.,10.02,ok,100,Прочее оборудование,,VIMAR,43
00250,00250,,mechanism,true,both,,,unknown,unknown,,,,,schuko_de,Linea,prefix,heuristic,,,,черная,true,,шт.,11.76,ok,50,Силовые розетки,,VIMAR,44
00250.B,00250,B,mechanism,true,both,,,unknown,unknown,,,,,schuko_de,Linea,prefix,heuristic,,,,белый,true,,шт.,11.76,ok,50,Силовые розетки,,VIMAR,45
00251,00251,,mechanism,true,both,,,unknown,unknown,,,,,french,Linea,prefix,heuristic,,,,черная,true,,шт.,12.81,ok,50,Силовые розетки,,VIMAR,46
00251.B,00251,B,mechanism,true,both,,,unknown,unknown,,,,,french,Linea,prefix,heuristic,,,,белая,true,,шт.,12.81,ok,50,Силовые розетки,,VIMAR,47
00300,00300,,accessory,false,n-a,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,черный,true,,шт.,6.42,ok,100,Монтажные аксессуары,,VIMAR,48
00300.B,00300,B,accessory,false,n-a,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,белый,true,,шт.,6.42,ok,100,Монтажные аксессуары,,VIMAR,49
00301,00301,,accessory,false,n-a,,,unknown,unknown,,,,,schuko_de,Linea,prefix,heuristic,,,,черный,true,,шт.,9.21,ok,50,Монтажные аксессуары,,VIMAR,50
00301.B,00301,B,accessory,false,n-a,,,unknown,unknown,,,,,schuko_de,Linea,prefix,heuristic,,,,белый,true,,шт.,9.21,ok,50,Монтажные аксессуары,,VIMAR,51
00302,00302,,accessory,false,n-a,,,unknown,unknown,,,,,italian,Linea,prefix,heuristic,,,,,false,,шт.,6.68,ok,50,Монтажные аксессуары,,VIMAR,52
00302.B,00302,B,accessory,false,n-a,,,unknown,unknown,,,,,italian,Linea,prefix,heuristic,,,,,false,,шт.,6.68,ok,50,Монтажные аксессуары,,VIMAR,53
00303,00303,,accessory,false,n-a,,,unknown,unknown,,,,,italian,Linea,prefix,heuristic,,,,черный,true,,шт.,7.08,ok,50,Монтажные аксессуары,,VIMAR,54
00303.B,00303,B,accessory,false,n-a,,,unknown,unknown,,,,,italian,Linea,prefix,heuristic,,,,белый,true,,шт.,7.08,ok,50,Монтажные аксессуары,,VIMAR,55
00320,00320,,accessory,false,n-a,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,черный,true,,шт.,6.93,ok,50,Монтажные аксессуары,,VIMAR,56
00320.B,00320,B,accessory,false,n-a,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,белый,true,,шт.,6.93,ok,50,Монтажные аксессуары,,VIMAR,57
00321,00321,,accessory,false,n-a,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,черный,true,,шт.,8.45,ok,50,Монтажные аксессуары,,VIMAR,58
00321.B,00321,B,accessory,false,n-a,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,белый,true,,шт.,8.45,ok,50,Монтажные аксессуары,,VIMAR,59
00322,00322,,accessory,false,n-a,,,unknown,unknown,,,,,italian,Linea,prefix,heuristic,,,,черный,true,,шт.,10.62,ok,50,Монтажные аксессуары,,VIMAR,60
00322.B,00322,B,accessory,false,n-a,,,unknown,unknown,,,,,italian,Linea,prefix,heuristic,,,,белый,true,,шт.,10.62,ok,50,Монтажные аксессуары,,VIMAR,61
00323,00323,,accessory,false,n-a,,,unknown,unknown,,,,,italian,Linea,prefix,heuristic,,,,черный,true,,шт.,11.03,ok,50,Монтажные аксессуары,,VIMAR,62
00323.B,00323,B,accessory,false,n-a,,,unknown,unknown,,,,,italian,Linea,prefix,heuristic,,,,белый,true,,шт.,11.03,ok,50,Монтажные аксессуары,,VIMAR,63
00323.F,00323,F,accessory,false,n-a,,,unknown,unknown,,,,,italian,Linea,prefix,heuristic,,,,,false,,шт.,12.34,ok,50,Монтажные аксессуары,Запрашивать остатки,VIMAR,64
00324,00324,,accessory,false,n-a,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,черный,true,,шт.,14.87,ok,50,Монтажные аксессуары,,VIMAR,65
00324.B,00324,B,accessory,false,n-a,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,белый,true,,шт.,14.87,ok,50,Монтажные аксессуары,,VIMAR,66
00325,00325,,accessory,false,n-a,,,unknown,unknown,,,,,italian,Linea,prefix,heuristic,,,,,false,,шт.,18.36,ok,25,Монтажные аксессуары,,VIMAR,67
00325.B,00325,B,accessory,false,n-a,,,unknown,unknown,,,,,italian,Linea,prefix,heuristic,,,,,false,,шт.,18.36,ok,25,Монтажные аксессуары,,VIMAR,68
00360,00360,,accessory,false,n-a,,,unknown,unknown,,,,,universal,Linea,prefix,heuristic,,,,,false,,шт.,43.57,ok,15,Монтажные аксессуары,,VIMAR,69
00361,00361,,accessory,false,n-a,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,45.96,ok,15,Монтажные аксессуары,,VIMAR,70
00404.K.B,00404,K.B,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,белый,true,,шт.,33.91,ok,20,Прочее оборудование,Запрашивать остатки,VIMAR,71
00413,00413,,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,черный,true,,шт.,38.96,ok,10,Прочее оборудование,Запрашивать остатки,VIMAR,72
00424.B,00424,B,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,белый,true,,шт.,48.9,ok,10,Прочее оборудование,Запрашивать остатки,VIMAR,73
00445.FR.CC.B,00445,FR.CC.B,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,107.76,ok,1,Слаботочные розетки и интерфейсы,,VIMAR,74
00447.CK.B,00447,CK.B,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,108.7,ok,12,Слаботочные розетки и интерфейсы,,VIMAR,75
00680,00680,,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,черный,true,,шт.,13.04,ok,20,"Выключатели, переключатели и кнопки",,VIMAR,76
00680.B,00680,B,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,белый,true,,шт.,13.04,ok,20,"Выключатели, переключатели и кнопки",,VIMAR,77
00750,00750,,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,2.81,ok,250,"Выключатели, переключатели и кнопки",,VIMAR,78
00750.L,00750,L,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,3.01,ok,250,"Выключатели, переключатели и кнопки",,VIMAR,79
00800,00800,,support,true,unknown,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,15.87,ok,4,Монтажные аксессуары,,VIMAR,80
00800.14,00800,,support,true,unknown,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,15.87,ok,4,Монтажные аксессуары,,VIMAR,81
00800.20,00800,,support,true,unknown,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,19.18,ok,4,Монтажные аксессуары,,VIMAR,82
00801,00801,,support,true,unknown,,,unknown,unknown,1,,,,,Linea,prefix,heuristic,1,,,,false,,шт.,43.13,ok,1,Монтажные аксессуары,,VIMAR,83
00801.14,00801,,support,true,unknown,,,unknown,unknown,1,,,,,Linea,prefix,heuristic,1,,,,false,,шт.,43.13,ok,1,Монтажные аксессуары,,VIMAR,84
00801.20,00801,,support,true,unknown,,,unknown,unknown,1,,,,,Linea,prefix,heuristic,1,,,,false,,шт.,66.6,ok,1,Монтажные аксессуары,,VIMAR,85
00802,00802,,support,true,unknown,,,unknown,unknown,2,,,,,Linea,prefix,heuristic,2,,,,false,,шт.,50.17,ok,1,Монтажные аксессуары,,VIMAR,86
00802.14,00802,,support,true,unknown,,,unknown,unknown,2,,,,,Linea,prefix,heuristic,2,,,,false,,шт.,50.17,ok,1,Монтажные аксессуары,,VIMAR,87
00802.20,00802,,support,true,unknown,,,unknown,unknown,2,,,,,Linea,prefix,heuristic,2,,,,false,,шт.,77.8,ok,1,Монтажные аксессуары,,VIMAR,88
00805,00805,,accessory,false,n-a,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,21.39,ok,5,Монтажные аксессуары,,VIMAR,89
00805.14,00805,,accessory,false,n-a,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,21.39,ok,5,Монтажные аксессуары,,VIMAR,90
00805.20,00805,,accessory,false,n-a,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,27.84,ok,5,Монтажные аксессуары,,VIMAR,91
00900,00900,,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,8,ok,100,"Выключатели, переключатели и кнопки",,VIMAR,92
00907.1,00907,,other,false,n-a,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,105.2,ok,1,Прочее оборудование,Новинка 07.2026,VIMAR,93
00910,00910,,other,false,n-a,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,27.38,ok,1,Прочее оборудование,,VIMAR,94
00911.1,00911,,other,false,n-a,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,111.31,ok,1,Прочее оборудование,Запрашивать остатки,VIMAR,95
00913,00913,,other,false,n-a,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,72.77,ok,1,Прочее оборудование,,VIMAR,96
00930,00930,,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,9.02,ok,25,Прочее оборудование,,VIMAR,97
00931,00931,,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,9.9,ok,20,Прочее оборудование,,VIMAR,98
00932,00932,,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,15.04,ok,20,Прочее оборудование,,VIMAR,99
00935.A,00935,A,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,10.94,ok,50,Прочее оборудование,,VIMAR,100
00935.B,00935,B,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,10.94,ok,50,Прочее оборудование,,VIMAR,101
00935.G,00935,G,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,10.94,ok,50,Прочее оборудование,,VIMAR,102
00935.R,00935,R,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,10.94,ok,50,Прочее оборудование,,VIMAR,103
00935.W,00935,W,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,10.94,ok,50,Прочее оборудование,,VIMAR,104
00935.WW,00935,WW,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,10.94,ok,50,Прочее оборудование,,VIMAR,105
00936.120.A,00936,A,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,9.6,ok,50,Прочее оборудование,,VIMAR,106
00936.120.B,00936,B,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,9.6,ok,50,Прочее оборудование,,VIMAR,107
00936.120.G,00936,G,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,9.6,ok,50,Прочее оборудование,,VIMAR,108
00936.120.R,00936,R,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,9.6,ok,50,Прочее оборудование,,VIMAR,109
00936.120.W,00936,W,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,9.6,ok,50,Прочее оборудование,,VIMAR,110
00936.250.A,00936,A,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,9.6,ok,50,Прочее оборудование,,VIMAR,111
00936.250.B,00936,B,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,9.6,ok,50,Прочее оборудование,,VIMAR,112
00936.250.G,00936,G,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,9.6,ok,50,Прочее оборудование,,VIMAR,113
00936.250.R,00936,R,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,9.6,ok,50,Прочее оборудование,,VIMAR,114
00936.250.W,00936,W,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,9.6,ok,50,Прочее оборудование,,VIMAR,115
00936.250.WW,00936,WW,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,9.6,ok,50,Прочее оборудование,,VIMAR,116
00936.5.A,00936,A,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,10.91,ok,50,Прочее оборудование,,VIMAR,117
00936.5.B,00936,B,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,10.91,ok,50,Прочее оборудование,,VIMAR,118
00936.5.G,00936,G,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,10.91,ok,50,Прочее оборудование,,VIMAR,119
00936.5.R,00936,R,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,10.91,ok,50,Прочее оборудование,,VIMAR,120
00936.5.W,00936,W,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,10.91,ok,50,Прочее оборудование,,VIMAR,121
00937.5.A,00937,A,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,11.63,ok,50,Прочее оборудование,,VIMAR,122
00937.5.B,00937,B,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,11.63,ok,50,Прочее оборудование,,VIMAR,123
00937.5.G,00937,G,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,11.63,ok,50,Прочее оборудование,,VIMAR,124
00937.5.R,00937,R,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,11.63,ok,50,Прочее оборудование,,VIMAR,125
00937.5.W,00937,W,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,11.63,ok,50,Прочее оборудование,,VIMAR,126
00937.A,00937,A,mechanism,true,both,,,unknown,unknown,,,,,,Linea,prefix,heuristic,,,,,false,,шт.,11.63,ok,50,Прочее оборудование,,VIMAR,127
